datasetName,uid,filesize,publish,export_filename,error_count,Created,Updated,Deleted,time_started,time_finished,current_row_count,threadID
DTF_NYSREGISTEREDTAXPREPARERS,b7jj-bh4g,1912027,TRUE,C:/sterling/DTF_NYSREGISTEREDTAXPREPARERS_20210129_R.csv,0,28340,0,0,2021-01-29T02:33:26.047572,2021-01-29T02:33:31.174123,28143,8180
DMV_OFFICELOCATIONS,9upz-c7xg,34467,TRUE,C:/sterling/DMV_OFFICELOCATIONS_20210129_R.csv,0,165,0,0,2021-01-29T03:01:36.911318,2021-01-29T03:01:46.385157,165,7188
DMV_LENSCUSTOMERS,tt84-bydt,2771162,TRUE,C:/sterling/DMV_LENSCUSTOMERS_20210128_R.csv,0,14847,0,0,2021-01-29T03:01:38.132397,2021-01-29T03:01:44.570673,14846,1112
DOS_AMC,7ttn-4nwr,23103,TRUE,C:/sterling/DOS_AMC_20210129_R.csv,0,158,0,0,2021-01-29T03:45:27.637994,2021-01-29T03:45:32.027965,158,8108
NYSERDA_UERCOUNTYMONTHLY,47km-hhvs,13276432,TRUE,C:/sterling/NYSERDA_UERCOUNTYMONTHLY_20210128_R.csv,0,109925,0,0,2021-01-29T04:01:39.926768,2021-01-29T04:01:56.822185,74715,2012
NYSERDA_UERZIPMONTHLY,tzb9-c2c6,97023106,TRUE,C:/sterling/NYSERDA_UERZIPMONTHLY_20210128_R.csv,0,743398,0,0,2021-01-29T04:02:11.568798,2021-01-29T04:02:54.231190,640000,1028
NYSERDA_UERCOMMUNITYMONTHLY,m3xm-q3dw,228293932,TRUE,C:/sterling/NYSERDA_UERCOMMUNITYMONTHLY_20210128_R.csv,0,1493687,0,0,2021-01-29T04:01:45.281108,2021-01-29T04:02:33.072152,1400000,4296
DOS_AEBARBERBUSINESSES,y3u4-jbgh,5790569,TRUE,C:/sterling/DOS_AEBARBERBUSINESSES_20210129_R.tsv,0,34251,0,0,2021-01-29T05:02:00.225553,2021-01-29T05:02:09.763298,18911,7856
DEC_CURRENTPESTICIDEBUSINESSES,h8u2-6ejg,1026809,TRUE,C:/sterling/DEC_CURRENTPESTICIDEBUSINESSES_20210129_R.csv,0,7546,0,0,2021-01-29T05:09:22.038856,2021-01-29T05:09:26.870920,7554,6824
DEC_MINEDLANDPERMITS,va8e-9s3h,1882338,TRUE,C:/sterling/DEC_MINEDLANDPERMITS_20210129_R.csv,0,6002,0,0,2021-01-29T05:09:20.904784,2021-01-29T05:09:26.521245,6002,4680
DEC_PESTICIDEAPPLICATORS,c7db-kwpj,4315345,TRUE,C:/sterling/DEC_PESTICIDEAPPLICATORS_20210129_R.csv,0,31728,0,0,2021-01-29T05:09:30.334405,2021-01-29T05:09:35.162576,31725,5408
DEC_OILGASOTHERREGULATEDWELLS,szye-wmt3,23672507,TRUE,C:/sterling/DEC_OILGASOTHERREGULATEDWELLS_20210129_R.csv,0,46048,0,0,2021-01-29T05:09:23.939978,2021-01-29T05:09:34.856246,23259,6756
GAMING_WINNINGNUMPICK10,bycu-cw7c,97,TRUE,C:/sterling/GAMING_WINNINGNUMPICK10_20210128_A.CSV,0,1,0,0,2021-01-29T05:30:27.458617,2021-01-29T05:30:31.394366,12395,6888
GAMING_WINNINGNUMNUMSWIN4,hsys-3def,283,TRUE,C:/sterling/GAMING_WINNINGNUMNUMSWIN4_20210128_A.CSV,0,1,0,0,2021-01-29T05:30:23.646372,2021-01-29T05:30:28.488582,14658,6008
GAMING_WINNINGNUMTAKE5,dg63-4siq,61,TRUE,C:/sterling/GAMING_WINNINGNUMTAKE5_20210128_A.CSV,0,1,0,0,2021-01-29T05:30:25.351480,2021-01-29T05:30:29.038245,8685,7956
GAMING_WINNINGNUMQUICKDRAW,7sqk-ycpk,30942,TRUE,C:/sterling/GAMING_WINNINGNUMQUICKDRAW_20210128_A.CSV,0,351,0,0,2021-01-29T05:30:26.296544,2021-01-29T05:30:39.560531,1030654,6000
DEC_REMEDIATION,c6ci-rzpg,34288953,TRUE,C:/sterling/DEC_REMEDIATION_20210129_R.CSV,0,83055,0,0,2021-01-29T06:40:13.456358,2021-01-29T06:40:24.338925,40000,7212
DEC_BULKSTORAGE,pteg-c78n,87317808,TRUE,C:/sterling/DEC_BULKSTORAGE_20210129_R.CSV,0,275161,0,0,2021-01-29T06:40:14.831447,2021-01-29T06:40:34.374892,220572,4572
DEC_SPILLINCIDENTS,u44d-k5fk,108514308,TRUE,C:/sterling/DEC_SPILLINCIDENTS_20210129_R.CSV,0,511676,0,0,2021-01-29T06:40:29.700404,2021-01-29T06:40:50.472824,474738,7084
SLA_PENDINGLICENSES,t5r8-ymc5,287684,TRUE,C:/sterling/SLA_PENDINGLICENSES_20210129_R.csv,0,2043,0,0,2021-01-29T08:56:45.257274,2021-01-29T08:56:49.031445,2048,5584
